product_id,productnaam,categorie,sub_categorie
1,"Enermax Note Cards, Premium",Office Supplies,Paper
2,"Dania Corner Shelving, Traditional",Furniture,Bookcases
3,"Binney & Smith Sketch Pad, Easy-Erase",Office Supplies,Art
4,"Boston Markers, Easy-Erase",Office Supplies,Art
5,"Eldon Folders, Single Width",Office Supplies,Storage
6,"Binney & Smith Pencil Sharpener, Water Color",Office Supplies,Art
7,"Sanford Canvas, Fluorescent",Office Supplies,Art
8,"Bush Floating Shelf Set, Pine",Furniture,Bookcases
9,"Accos Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners
10,"Smead Lockers, Industrial",Office Supplies,Storage
11,"Ikea Classic Bookcase, Metal",Furniture,Bookcases
12,"Binney & Smith Sketch Pad, Blue",Office Supplies,Art
13,"Ibico Hole Reinforcements, Recycled",Office Supplies,Binders
14,"Boston Canvas, Fluorescent",Office Supplies,Art
15,"Smead Trays, Single Width",Office Supplies,Storage
16,"Bevis Training Table, with Bottom Storage",Furniture,Tables
17,"Novimex File Folder Labels, Alphabetical",Office Supplies,Labels
18,"SAFCO Executive Leather Armchair, Red",Furniture,Chairs
19,"Binney & Smith Canvas, Blue",Office Supplies,Art
20,"Ikea Stackable Bookrack, Traditional",Furniture,Bookcases
21,"Ibico Index Tab, Clear",Office Supplies,Binders
22,"Epson Printer, White",Technology,Machines
23,"Hon Chairmat, Adjustable",Furniture,Chairs
24,"Green Bar Note Cards, Multicolor",Office Supplies,Paper
25,"Wilson Jones Hole Reinforcements, Durable",Office Supplies,Binders
26,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",Office Supplies,Labels
27,"Green Bar Cards & Envelopes, Multicolor",Office Supplies,Paper
28,"Smead Lockers, Blue",Office Supplies,Storage
29,"Sanford Pens, Fluorescent",Office Supplies,Art
30,"Xerox Message Books, Premium",Office Supplies,Paper
31,"StarTech Card Printer, White",Technology,Machines
32,"Apple Headset, with Caller ID",Technology,Phones
33,"Cuisinart Microwave, White",Office Supplies,Appliances
34,"Harbour Creations Removable Labels, 5000 Label Set",Office Supplies,Labels
35,"Green Bar Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
36,"Elite Letter Opener, Easy Grip",Office Supplies,Supplies
37,"Hewlett Copy Machine, Laser",Technology,Copiers
38,"Hon Shipping Labels, Laser Printer Compatible",Office Supplies,Labels
39,"Stockwell Thumb Tacks, Bulk Pack",Office Supplies,Fasteners
40,"Acco Binding Machine, Economy",Office Supplies,Binders
41,"GlobeWeis Business Envelopes, Recycled",Office Supplies,Envelopes
42,"Wilson Jones Binding Machine, Clear",Office Supplies,Binders
43,"Fellowes Folders, Blue",Office Supplies,Storage
44,"Boston Pencil Sharpener, Water Color",Office Supplies,Art
45,"Memorex Router, Programmable",Technology,Accessories
46,"Avery Index Tab, Clear",Office Supplies,Binders
47,"Tenex File Cart, Blue",Office Supplies,Storage
48,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
49,"Boston Canvas, Easy-Erase",Office Supplies,Art
50,"Rogers Lockers, Single Width",Office Supplies,Storage
51,"Boston Markers, Fluorescent",Office Supplies,Art
52,"Harbour Creations Swivel Stool, Set of Two",Furniture,Chairs
53,"Office Star Bag Chairs, Set of Two",Furniture,Chairs
54,"Advantus Staples, 12 Pack",Office Supplies,Fasteners
55,"Harbour Creations Color Coded Labels, Adjustable",Office Supplies,Labels
56,"SanDisk Memo Slips, Multicolor",Office Supplies,Paper
57,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings
58,"Cardinal Binder, Clear",Office Supplies,Binders
59,"Stanley Markers, Water Color",Office Supplies,Art
60,"Smead Removable Labels, 5000 Label Set",Office Supplies,Labels
61,"Acco Binder Covers, Clear",Office Supplies,Binders
62,"Avery Binder, Economy",Office Supplies,Binders
63,"Memorex Flash Drive, Bluetooth",Technology,Accessories
64,"Hewlett Wireless Fax, Laser",Technology,Copiers
65,"Rogers Folders, Single Width",Office Supplies,Storage
66,"Acco Hole Reinforcements, Recycled",Office Supplies,Binders
67,"Avery Hole Reinforcements, Durable",Office Supplies,Binders
68,"Sanford Pencil Sharpener, Water Color",Office Supplies,Art
69,"Xerox Note Cards, Premium",Office Supplies,Paper
70,"HP Fax and Copier, Digital",Technology,Copiers
71,"Motorola Signal Booster, Cordless",Technology,Phones
72,"Acme Box Cutter, High Speed",Office Supplies,Supplies
73,"Cisco Smart Phone, Full Size",Technology,Phones
74,"Boston Highlighters, Water Color",Office Supplies,Art
75,"Ikea Library with Doors, Pine",Furniture,Bookcases
76,"SAFCO Steel Folding Chair, Black",Furniture,Chairs
77,"BIC Canvas, Water Color",Office Supplies,Art
78,"Cisco Headset, Full Size",Technology,Phones
79,"Logitech Numeric Keypad, Erganomic",Technology,Accessories
80,"Hewlett Copy Machine, Color",Technology,Copiers
81,"Konica Phone, White",Technology,Machines
82,"Fellowes File Cart, Industrial",Office Supplies,Storage
83,"Brother Wireless Fax, Laser",Technology,Copiers
84,"Boston Pencil Sharpener, Easy-Erase",Office Supplies,Art
85,"Tenex Shelving, Industrial",Office Supplies,Storage
