order_product_id,order_id,product_id,klant_id,korting,aankoopprijs,verkoop,winst,winstmarge,aantal,besteldatum,verzenddatum,verstuurmethode,winstmarge
1,BN-2011-7407039,1,1,0.5,71,45,-26,-57.78,3,2011-01-01,2011-01-05,Economy Plus,-57.78
2,AZ-2011-9050313,2,2,0.0,564,854,290,33.96,7,2011-01-03,2011-01-07,Economy,33.96
3,AZ-2011-6674300,3,3,0.0,119,140,21,15.0,3,2011-01-04,2011-01-08,Economy,15.0
4,BN-2011-2819714,4,4,0.5,49,27,-22,-81.48,2,2011-01-04,2011-01-09,Economy,-81.48
5,BN-2011-2819714,5,4,0.5,18,17,-1,-5.88,2,2011-01-04,2011-01-09,Economy,-5.88
6,AZ-2011-617423,6,5,0.0,69,90,21,23.33,3,2011-01-05,2011-01-07,Priority,23.33
7,AZ-2011-617423,7,5,0.0,130,207,77,37.2,4,2011-01-05,2011-01-07,Priority,37.2
8,AZ-2011-2918397,8,6,0.1,119,155,36,23.23,1,2011-01-07,2011-01-08,Priority,23.23
9,AZ-2011-2918397,9,6,0.0,31,33,2,6.06,3,2011-01-07,2011-01-08,Priority,6.06
10,AZ-2011-2918397,10,6,0.1,573,716,143,19.97,4,2011-01-07,2011-01-08,Priority,19.97
11,BN-2011-3248724,11,7,0.6,1999,987,-1012,-102.53,6,2011-01-08,2011-01-14,Economy,-102.53
12,BN-2011-3248724,12,7,0.5,172,116,-56,-48.28,5,2011-01-08,2011-01-14,Economy,-48.28
13,AZ-2011-6712797,13,8,0.0,15,22,7,31.82,3,2011-01-11,2011-01-16,Economy,31.82
14,AZ-2011-4827146,14,9,0.0,45,55,10,18.18,1,2011-01-11,2011-01-15,Economy,18.18
15,AZ-2011-4827146,15,9,0.0,66,97,31,31.96,2,2011-01-11,2011-01-15,Economy,31.96
16,AZ-2011-6439906,16,10,0.6,610,268,-342,-127.61,2,2011-01-11,2011-01-15,Economy,-127.61
17,AZ-2011-6439906,17,10,0.0,34,40,6,15.0,5,2011-01-11,2011-01-15,Economy,15.0
18,AZ-2011-7053593,18,11,0.0,1370,1384,14,1.01,3,2011-01-11,2011-01-11,Immediate,1.01
19,AZ-2011-7053593,19,11,0.0,83,103,20,19.42,2,2011-01-11,2011-01-11,Immediate,19.42
20,AZ-2011-5702370,20,12,0.1,387,552,165,29.89,5,2011-01-12,2011-01-19,Economy,29.89
21,AZ-2011-5702370,19,12,0.0,208,257,49,19.07,5,2011-01-12,2011-01-19,Economy,19.07
22,AZ-2011-5702370,21,12,0.0,11,17,6,35.29,2,2011-01-12,2011-01-19,Economy,35.29
23,AZ-2011-5702370,22,12,0.0,501,522,21,4.02,2,2011-01-12,2011-01-19,Economy,4.02
24,AZ-2011-9927716,23,13,0.0,220,290,70,24.14,5,2011-01-12,2011-01-17,Economy,24.14
25,AZ-2011-2222024,24,14,0.5,40,34,-6,-17.65,2,2011-01-12,2011-01-15,Priority,-17.65
26,BN-2011-4913858,25,15,0.5,12,9,-3,-33.33,3,2011-01-13,2011-01-19,Economy,-33.33
27,BN-2011-4913858,26,15,0.5,34,22,-12,-54.55,4,2011-01-13,2011-01-19,Economy,-54.55
28,BN-2011-4913858,27,15,0.5,88,50,-38,-76.0,2,2011-01-13,2011-01-19,Economy,-76.0
29,BN-2011-4913858,28,15,0.5,329,198,-131,-66.16,2,2011-01-13,2011-01-19,Economy,-66.16
30,BN-2011-2807470,29,16,0.5,45,31,-14,-45.16,5,2011-01-13,2011-01-20,Economy,-45.16
31,AZ-2011-5960662,30,17,0.0,121,224,103,45.98,11,2011-01-14,2011-01-19,Economy,45.98
32,AZ-2011-5960662,31,17,0.0,408,486,78,16.05,3,2011-01-14,2011-01-19,Economy,16.05
33,AZ-2011-5960662,32,17,0.0,374,440,66,15.0,6,2011-01-14,2011-01-19,Economy,15.0
34,AZ-2011-7675351,33,18,0.1,246,249,3,1.2,1,2011-01-15,2011-01-20,Economy Plus,1.2
35,AZ-2011-7675351,34,18,0.0,14,21,7,33.33,2,2011-01-15,2011-01-20,Economy Plus,33.33
36,AZ-2011-7675351,35,18,0.0,145,170,25,14.71,5,2011-01-15,2011-01-20,Economy Plus,14.71
37,AZ-2011-7675351,36,18,0.0,53,55,2,3.64,2,2011-01-15,2011-01-20,Economy Plus,3.64
38,AZ-2011-7675351,37,18,0.0,516,527,11,2.09,2,2011-01-15,2011-01-20,Economy Plus,2.09
39,BN-2011-3770060,38,19,0.5,25,17,-8,-47.06,3,2011-01-17,2011-01-23,Economy,-47.06
40,AZ-2011-7419210,39,20,0.0,75,108,33,30.56,8,2011-01-18,2011-01-21,Priority,30.56
41,AZ-2011-1816950,40,21,0.5,37,26,-11,-42.31,1,2011-01-18,2011-01-23,Economy Plus,-42.31
42,AZ-2011-3059419,41,22,0.0,27,48,21,43.75,3,2011-01-19,2011-01-21,Priority,43.75
43,AZ-2011-5342265,42,23,0.0,101,145,44,30.34,3,2011-01-19,2011-01-20,Priority,30.34
44,AZ-2011-5342265,43,23,0.4,40,48,8,16.67,3,2011-01-19,2011-01-20,Priority,16.67
45,AZ-2011-2002251,44,24,0.0,50,58,8,13.79,2,2011-01-20,2011-01-25,Economy,13.79
46,AZ-2011-5357101,45,25,0.0,262,495,233,47.07,2,2011-01-21,2011-01-26,Economy,47.07
47,AZ-2011-2245674,46,26,0.0,9,12,3,25.0,2,2011-01-22,2011-01-26,Economy,25.0
48,AZ-2011-2245674,47,26,0.0,546,666,120,18.02,5,2011-01-22,2011-01-26,Economy,18.02
49,AZ-2011-8034411,48,27,0.0,487,825,338,40.97,2,2011-01-22,2011-01-26,Economy,40.97
50,AZ-2011-8034411,49,27,0.0,42,54,12,22.22,1,2011-01-22,2011-01-26,Economy,22.22
51,AZ-2011-8034411,50,27,0.4,830,889,59,6.64,7,2011-01-22,2011-01-26,Economy,6.64
52,AZ-2011-6684426,51,28,0.0,24,28,4,14.29,1,2011-01-24,2011-01-26,Economy Plus,14.29
53,BN-2011-7883641,52,29,0.6,130,73,-57,-78.08,1,2011-01-24,2011-01-26,Priority,-78.08
54,BN-2011-7883641,53,29,0.6,164,69,-95,-137.68,3,2011-01-24,2011-01-26,Priority,-137.68
55,BN-2011-7883641,54,29,0.0,38,41,3,7.32,4,2011-01-24,2011-01-26,Priority,7.32
56,BN-2011-7883641,55,29,0.0,46,54,8,14.81,5,2011-01-24,2011-01-26,Priority,14.81
57,BN-2011-7883641,56,29,0.0,52,55,3,5.45,3,2011-01-24,2011-01-26,Priority,5.45
58,AZ-2011-4205736,57,30,0.0,16,20,4,20.0,1,2011-01-25,2011-02-01,Economy,20.0
59,AZ-2011-4205736,58,30,0.0,129,133,4,3.01,10,2011-01-25,2011-02-01,Economy,3.01
60,AZ-2011-5010109,59,31,0.0,119,178,59,33.15,7,2011-01-25,2011-01-30,Economy,33.15
61,AZ-2011-201891,60,32,0.0,22,32,10,31.25,3,2011-01-26,2011-01-30,Economy,31.25
62,AZ-2011-5708655,61,33,0.0,8,13,5,38.46,1,2011-01-26,2011-01-30,Economy,38.46
63,AZ-2011-5708655,62,33,0.0,32,52,20,38.46,4,2011-01-26,2011-01-30,Economy,38.46
64,AZ-2011-5708655,63,33,0.0,70,88,18,20.45,3,2011-01-26,2011-01-30,Economy,20.45
65,BN-2011-6722454,64,34,0.5,787,570,-217,-38.07,3,2011-01-26,2011-01-30,Economy,-38.07
66,BN-2011-486854,65,35,0.1,29,28,-1,-3.57,1,2011-01-28,2011-02-03,Economy,-3.57
67,AZ-2011-2825684,66,36,0.0,10,21,11,52.38,3,2011-02-01,2011-02-07,Economy,52.38
68,AZ-2011-2825684,67,36,0.0,8,12,4,33.33,2,2011-02-01,2011-02-07,Economy,33.33
69,AZ-2011-494581,68,37,0.0,58,78,20,25.64,3,2011-02-01,2011-02-05,Economy,25.64
70,AZ-2011-838467,69,38,0.5,21,13,-8,-61.54,1,2011-02-02,2011-02-05,Priority,-61.54
71,AZ-2011-838467,70,38,0.5,86,86,0,0.0,1,2011-02-02,2011-02-05,Priority,0.0
72,AZ-2011-838467,71,38,0.5,643,584,-59,-10.1,8,2011-02-02,2011-02-05,Priority,-10.1
73,AZ-2011-4987681,72,39,0.0,20,38,18,47.37,1,2011-02-02,2011-02-06,Economy Plus,47.37
74,AZ-2011-4987681,73,39,0.1,483,587,104,17.72,1,2011-02-02,2011-02-06,Economy Plus,17.72
75,AZ-2011-4614904,74,40,0.0,36,44,8,18.18,2,2011-02-02,2011-02-04,Priority,18.18
76,AZ-2011-7043718,75,41,0.0,488,729,241,33.06,2,2011-02-02,2011-02-07,Economy Plus,33.06
77,AZ-2011-7043718,76,41,0.2,243,266,23,8.65,4,2011-02-02,2011-02-07,Economy Plus,8.65
78,AZ-2011-7043718,77,41,0.0,56,57,1,1.75,1,2011-02-02,2011-02-07,Economy Plus,1.75
79,AZ-2011-7043718,68,41,0.0,103,116,13,11.21,4,2011-02-02,2011-02-07,Economy Plus,11.21
80,AZ-2011-4696725,78,42,0.1,119,162,43,26.54,2,2011-02-02,2011-02-04,Priority,26.54
81,BN-2011-2468159,56,43,0.5,87,46,-41,-89.13,5,2011-02-02,2011-02-06,Economy,-89.13
82,BN-2011-2468159,79,43,0.5,52,44,-8,-18.18,2,2011-02-02,2011-02-06,Economy,-18.18
83,BN-2011-2468159,80,43,0.65,786,550,-236,-42.91,6,2011-02-02,2011-02-06,Economy,-42.91
84,BN-2011-2468159,81,43,0.65,165,89,-76,-85.39,3,2011-02-02,2011-02-06,Economy,-85.39
85,BN-2011-9336144,82,44,0.1,240,248,8,3.23,2,2011-02-02,2011-02-02,Immediate,3.23
86,BN-2011-9336144,83,44,0.0,239,379,140,36.94,1,2011-02-02,2011-02-02,Immediate,36.94
87,BN-2011-7087921,84,45,0.5,153,91,-62,-68.13,6,2011-02-03,2011-02-05,Economy Plus,-68.13
88,AZ-2011-6835828,85,46,0.1,134,149,15,10.07,3,2011-02-04,2011-02-08,Economy,10.07
89,AZ-2011-2397035,86,47,0.0,108,112,4,3.57,4,2011-02-07,2011-02-11,Economy,3.57
90,AZ-2011-2397035,87,47,0.0,44,50,6,12.0,4,2011-02-07,2011-02-11,Economy,12.0
91,AZ-2011-2397035,88,47,0.15,196,208,12,5.77,2,2011-02-07,2011-02-11,Economy,5.77
92,AZ-2011-9421435,89,48,0.0,20,31,11,35.48,3,2011-02-07,2011-02-12,Economy,35.48
93,AZ-2011-2956456,90,49,0.0,88,110,22,20.0,6,2011-02-08,2011-02-13,Economy,20.0
94,AZ-2011-9107304,91,50,0.0,353,368,15,4.08,3,2011-02-09,2011-02-14,Economy,4.08
95,AZ-2011-9107304,12,50,0.0,69,93,24,25.81,2,2011-02-09,2011-02-14,Economy,25.81
96,AZ-2011-9107304,92,50,0.0,67,85,18,21.18,3,2011-02-09,2011-02-14,Economy,21.18
97,AZ-2011-9107304,93,50,0.0,43,48,5,10.42,3,2011-02-09,2011-02-14,Economy,10.42
98,AZ-2011-9107304,94,50,0.1,63,60,-3,-5.0,4,2011-02-09,2011-02-14,Economy,-5.0
99,AZ-2011-2606042,95,51,0.0,128,133,5,3.76,5,2011-02-09,2011-02-09,Immediate,3.76
100,AZ-2011-2606042,96,51,0.0,59,80,21,26.25,7,2011-02-09,2011-02-09,Immediate,26.25
101,AZ-2011-5195846,97,52,0.2,177,267,90,33.71,3,2011-02-09,2011-02-13,Economy,33.71
102,AZ-2011-5195846,98,52,0.5,74,55,-19,-34.55,4,2011-02-09,2011-02-13,Economy,-34.55
103,AZ-2011-5195846,99,52,0.5,93,91,-2,-2.2,3,2011-02-09,2011-02-13,Economy,-2.2
104,AZ-2011-7255147,100,53,0.0,663,780,117,15.0,2,2011-02-10,2011-02-14,Economy,15.0
105,AZ-2011-7255147,101,53,0.0,11,19,8,42.11,1,2011-02-10,2011-02-14,Economy,42.11
106,AZ-2011-5676694,102,54,0.0,469,822,353,42.94,2,2011-02-10,2011-02-15,Economy,42.94
107,AZ-2011-5676694,103,54,0.0,15,19,4,21.05,1,2011-02-10,2011-02-15,Economy,21.05
108,AZ-2011-819110,104,55,0.0,26,50,24,48.0,4,2011-02-10,2011-02-14,Economy,48.0
109,AZ-2011-819110,105,55,0.15,179,206,27,13.11,2,2011-02-10,2011-02-14,Economy,13.11
110,BN-2011-3032749,106,56,0.5,40,26,-14,-53.85,5,2011-02-10,2011-02-10,Immediate,-53.85
111,BN-2011-3032749,107,56,0.6,435,215,-220,-102.33,4,2011-02-10,2011-02-10,Immediate,-102.33
112,AZ-2011-6048331,108,57,0.0,25,26,1,3.85,1,2011-02-14,2011-02-19,Economy Plus,3.85
113,AZ-2011-6048331,109,57,0.1,7,9,2,22.22,1,2011-02-14,2011-02-19,Economy Plus,22.22
114,BN-2011-493873,110,58,0.5,1452,875,-577,-65.94,4,2011-02-15,2011-02-20,Economy,-65.94
115,BN-2011-493873,111,58,0.7,773,273,-500,-183.15,3,2011-02-15,2011-02-20,Economy,-183.15
116,BN-2011-408191,112,59,0.2,810,728,-82,-11.26,2,2011-02-15,2011-02-21,Economy,-11.26
117,BN-2011-408191,113,59,0.0,108,127,19,14.96,3,2011-02-15,2011-02-21,Economy,14.96
118,BN-2011-307477,114,60,0.1,2676,4544,1868,41.11,11,2011-02-16,2011-02-19,Economy Plus,41.11
119,BN-2011-307477,115,60,0.1,277,277,0,0.0,1,2011-02-16,2011-02-19,Economy Plus,0.0
120,BN-2011-307477,116,60,0.0,58,90,32,35.56,6,2011-02-16,2011-02-19,Economy Plus,35.56
121,BN-2011-307477,117,60,0.15,241,284,43,15.14,2,2011-02-16,2011-02-19,Economy Plus,15.14
122,AZ-2011-8122214,118,61,0.0,21,35,14,40.0,3,2011-02-18,2011-02-24,Economy,40.0
123,AZ-2011-9155070,67,62,0.0,16,24,8,33.33,4,2011-02-18,2011-02-23,Economy,33.33
124,AZ-2011-9155070,119,62,0.15,131,129,-2,-1.55,3,2011-02-18,2011-02-23,Economy,-1.55
125,AZ-2011-2939440,120,63,0.0,47,55,8,14.55,5,2011-02-18,2011-02-22,Economy Plus,14.55
126,AZ-2011-2939440,121,63,0.0,39,62,23,37.1,7,2011-02-18,2011-02-22,Economy Plus,37.1
127,AZ-2011-2270958,122,64,0.5,1946,1003,-943,-94.02,4,2011-02-21,2011-02-26,Economy,-94.02
128,AZ-2011-2270958,123,64,0.0,86,164,78,47.56,3,2011-02-21,2011-02-26,Economy,47.56
129,AZ-2011-2270958,124,64,0.4,42,29,-13,-44.83,1,2011-02-21,2011-02-26,Economy,-44.83
130,AZ-2011-2270958,125,64,0.4,35,30,-5,-16.67,1,2011-02-21,2011-02-26,Economy,-16.67
131,BN-2011-555099,126,65,0.0,15,21,6,28.57,2,2011-02-21,2011-02-25,Economy,28.57
132,BN-2011-555099,127,65,0.0,24,32,8,25.0,3,2011-02-21,2011-02-25,Economy,25.0
133,AZ-2011-8091357,128,66,0.0,73,103,30,29.13,2,2011-02-22,2011-02-26,Economy,29.13
